x11,x12,x13,x14,x21,x22,x23,x24,x31,x32,x33,x34,x41,x42,x43,x44,d_x11,d_x12,d_x13,d_x14,d_x21,d_x22,d_x23,d_x24,d_x31,d_x32,d_x33,d_x34,d_x41,d_x42,d_x43,d_x44
1.0,0.53957343,0.08194705,0.033055272,1.6265404,1.0,1.2132715,1.4589931,1.08725,1.8701448,1.0,0.0054770005,1.7148086,0.06717115,1.4593109,1.0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1
1.0,1.0829225,0.59942377,0.84537446,0.056639344,1.0,1.3412489,1.294379,1.2307702,0.7673551,1.0,1.9616706,1.371084,1.3009186,1.3768935,1.0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1
1.0,1.4429767,1.0507087,0.62048376,0.97167075,1.0,1.868087,0.7155904,1.1430596,0.6437388,1.0,0.67582244,0.783238,1.7805487,0.4543152,1.0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1
1.0,1.6652883,1.5741966,0.47873887,1.7529684,1.0,0.6722341,0.30055892,0.90067875,1.5926485,1.0,0.104042605,0.80910367,0.3970261,0.1815061,1.0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1
1.0,1.3439897,0.3990309,1.8842262,0.7302203,1.0,1.2582163,1.8543091,0.8807543,1.909181,1.0,0.85045725,1.2404269,1.990193,1.8978873,1.0,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,0
1.0,0.9948454,1.0586243,1.5715714,0.8293117,1.0,1.4222858,1.8641194,0.22986527,1.4580302,1.0,1.9358524,0.02941261,1.7272801,1.9623901,1.0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0
1.0,1.9452577,1.7798711,1.6447476,0.95997584,1.0,1.6037612,1.8470603,0.53226054,1.0778688,1.0,1.8620347,0.08102142,1.4640124,1.2287465,1.0,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,0
1.0,0.031983458,1.515902,1.0255175,1.8582084,1.0,1.6826346,0.13338001,0.68862,0.8605975,1.0,1.1244637,0.51772916,0.48335144,1.7762367,1.0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1
1.0,0.5766615,1.1722461,1.108181,1.6194216,1.0,0.5768424,0.8257927,1.6362419,1.2530129,1.0,0.7388088,1.1052231,1.1878484,1.6965824,1.0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,1
1.0,1.8199179,0.08613378,1.6454126,0.83076805,1.0,0.019909121,0.7300923,0.15726008,1.3052292,1.0,1.4053042,1.8876028,0.2536342,1.7295566,1.0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1
1.0,0.85954815,0.9776991,1.9529246,1.5513824,1.0,0.53967357,1.7262404,1.7626144,1.021413,1.0,1.9898347,0.6318871,0.36542475,1.7601962,1.0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0
1.0,1.9168273,1.8514291,1.496497,1.7214028,1.0,0.2824931,1.3401237,1.4292371,0.33410585,1.0,1.8205116,1.1228015,1.1566719,0.38825956,1.0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1
1.0,0.17787129,1.9638854,1.1427912,0.012817766,1.0,1.9565314,1.1797401,0.6393633,0.37501544,1.0,0.3902148,1.1553758,1.2044784,1.9248462,1.0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1
1.0,1.488195,0.35445347,0.7761335,0.125791,1.0,0.17553577,0.7901834,1.7470453,0.9446007,1.0,1.5318342,1.830648,0.254806,0.14712581,1.0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1
1.0,1.26814,0.9931434,0.32708684,1.3474668,1.0,1.4217597,0.9207107,1.0149397,1.5793315,1.0,1.157517,0.3944699,1.6162735,0.97769207,1.0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1
1.0,1.9260383,1.601834,0.962521,1.6270682,1.0,1.3102422,1.8273815,0.13054083,1.6699764,1.0,0.6510912,1.9880536,1.562381,0.9710703,1.0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1
1.0,0.17362975,1.4168376,1.5783093,1.5983927,1.0,1.5932784,0.4506569,0.7246159,0.8348962,1.0,0.22522733,0.8138956,0.0006013802,1.4887614,1.0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1
1.0,1.4075716,1.6422062,1.9636567,1.6875812,1.0,1.9593774,1.9479688,1.0073539,1.506893,1.0,0.9522942,1.7275724,1.4031371,0.5878485,1.0,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0
1.0,0.1876903,0.78276086,0.14748202,0.9523339,1.0,0.8474749,1.1726007,0.24538133,1.8675379,1.0,1.6475627,1.7936025,1.16664,0.08043644,1.0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1
1.0,1.6519145,1.0643209,1.6264882,1.9940206,1.0,0.3420429,0.7833496,1.5060999,0.87845784,1.0,0.25471693,1.452247,0.5601648,0.38123512,1.0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1
1.0,0.9689979,1.7976475,0.17202488,1.392309,1.0,0.3508195,1.3495973,0.7256439,0.65979165,1.0,0.39859667,1.0243473,0.0480264,0.32673618,1.0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1
1.0,1.113671,0.4449068,1.1154952,0.024293052,1.0,1.4335014,1.29209,1.2226774,0.14743286,1.0,1.1487561,0.78837353,1.9840465,1.8474907,1.0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1
1.0,1.3924302,0.27308682,0.6251913,1.4318357,1.0,0.6834853,0.47788742,1.643584,1.1699654,1.0,0.5123,0.14531669,0.03578284,1.1599404,1.0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1
1.0,0.21495445,0.9041776,0.7893196,0.46462294,1.0,1.2874095,1.4515153,0.16561715,0.70548683,1.0,0.8534423,0.081235126,0.3880549,1.8900493,1.0,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1
1.0,1.6442744,0.7825875,0.93356705,1.6480036,1.0,1.6738875,1.5151932,1.382543,1.8259482,1.0,0.3581254,1.4964485,0.17336264,0.85171247,1.0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1
1.0,1.8758103,0.18955335,0.00979883,0.6458416,1.0,0.5293903,1.6613885,0.3462273,1.1727567,1.0,1.4330264,1.9610159,1.1491133,1.9666694,1.0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1
1.0,1.7769798,1.2629831,0.7127291,1.0565649,1.0,1.5550883,0.340157,1.1543959,1.0717978,1.0,1.5209732,0.21965577,1.249882,0.8279118,1.0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1
1.0,1.1709591,1.4657722,1.0400505,0.9257356,1.0,0.45830333,1.3906043,1.3914227,0.390965,1.0,1.3423016,1.0624323,1.6823508,0.9730409,1.0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0
1.0,0.31227097,1.4232411,1.6882219,1.3555976,1.0,1.1514442,1.126825,1.8731321,0.7753484,1.0,1.7538658,1.789457,0.09653119,0.39644808,1.0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1
1.0,1.213385,0.38317838,0.23528315,1.0119452,1.0,0.43413436,0.1502654,1.10209,0.3836343,1.0,1.5465292,1.6424532,0.7966711,0.5881527,1.0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1
1.0,1.1538153,1.0556401,0.71069837,1.2748419,1.0,1.1165578,0.77458984,1.2478056,1.1838056,1.0,0.60640204,1.0914978,1.2246835,1.2215968,1.0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1
1.0,1.9715393,0.85604906,1.6860294,0.16264738,1.0,1.8834124,0.523728,0.024202831,0.9660168,1.0,1.9432625,1.7953969,1.9213297,1.2077394,1.0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1
1.0,1.304698,0.49711534,1.8685721,0.8793989,1.0,1.0018759,0.36671248,0.5918537,1.1488216,1.0,0.027475717,0.8677825,1.5243944,1.2283145,1.0,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1
1.0,0.96902925,1.9990027,1.5520633,1.6612629,1.0,0.30458993,0.39860782,0.8645299,1.0242982,1.0,1.5598896,1.7368623,0.63201,1.0161284,1.0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1
1.0,0.2949449,0.5617421,1.461412,1.1363846,1.0,0.8957167,0.8132257,0.61301446,0.46274516,1.0,0.529372,1.7245511,0.5412968,1.3467193,1.0,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,1
1.0,1.7908336,0.3399769,0.2996311,0.24380444,1.0,1.068462,0.3314623,1.6143359,0.04522106,1.0,0.9464079,0.4330566,0.71181244,0.44558287,1.0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1
1.0,0.8343507,0.7717299,1.2223489,1.3282837,1.0,0.16951793,1.1638051,1.4718472,1.5911367,1.0,0.26114613,0.16748065,0.6461074,1.8551176,1.0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1
1.0,0.9193499,1.5102363,0.97025436,1.4174045,1.0,1.7797306,0.5314161,0.012353658,1.4423316,1.0,1.313803,1.37483,1.1725284,0.2305579,1.0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
1.0,0.36568576,0.8417568,0.7567388,0.23793033,1.0,1.2472345,0.75492686,1.416999,0.46184418,1.0,1.4977996,1.3374562,0.8587414,0.27353457,1.0,1,1,1,0,0,1,1,0,1,0,1,1,1,1,0,1
1.0,0.3278853,1.3786035,0.71127415,1.8302373,1.0,0.54746234,1.8760526,0.050465513,0.36964804,1.0,1.4641602,1.0523361,0.9287508,0.4450667,1.0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1
1.0,0.49468243,1.6127206,0.9020949,1.7536355,1.0,1.5790893,0.37480655,0.6324437,0.7534121,1.0,0.94493407,1.6449323,0.34638107,1.7029718,1.0,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1
1.0,0.01878074,0.58550596,0.80148953,1.9408988,1.0,1.5626105,0.9508499,0.25974706,0.7321606,1.0,0.487145,0.58872753,0.8398377,1.9245228,1.0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1
1.0,0.061064143,0.13222052,0.055631813,1.3318893,1.0,1.1528404,1.5907322,0.66362786,0.49135497,1.0,0.9517956,0.29842028,0.17489024,1.474335,1.0,1,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1
1.0,1.020178,0.30690914,0.45131484,0.90704775,1.0,1.3003949,0.54841393,1.5118773,0.87088037,1.0,0.8574543,1.6743927,0.029083263,1.4364425,1.0,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1
1.0,0.3976516,1.859023,0.39929003,1.1231734,1.0,1.7168869,0.9333331,1.6597825,1.0477931,1.0,1.4332156,1.8242105,1.884721,1.6044923,1.0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0
1.0,1.2324835,0.54241335,0.7703046,0.34765634,1.0,1.7089955,0.26560926,1.0336698,0.79002583,1.0,0.9299846,1.4616181,1.1322078,1.9564962,1.0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1
1.0,0.8308772,0.3653373,1.5641621,0.543438,1.0,1.2920302,0.39935452,0.06881387,1.9740667,1.0,0.2474105,1.6959388,0.5162604,0.49456948,1.0,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,1
1.0,1.6919147,0.27330402,1.4951724,0.93964773,1.0,1.4686058,1.6902862,0.64492154,0.30962312,1.0,1.83838,0.5796823,1.6288286,0.17938645,1.0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1
1.0,0.39372623,0.5913745,1.1911097,0.7115153,1.0,1.1847258,0.4140573,1.220219,0.02811817,1.0,0.32241562,0.70735544,0.023819476,1.859815,1.0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1
1.0,0.75128466,1.8814775,0.7036387,0.8622657,1.0,1.9524901,0.72971445,0.16707484,1.3159648,1.0,0.74448204,0.42277032,0.8185029,0.8781364,1.0,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1
1.0,1.2418178,0.3878359,1.3758291,1.517998,1.0,0.75897306,0.6536956,1.1408627,1.3061064,1.0,0.9393189,1.9843358,0.03170528,0.7419872,1.0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1
1.0,1.7383875,0.8766101,1.766156,1.1510797,1.0,0.5046062,1.6472278,1.288401,0.42445213,1.0,0.25086266,1.818144,0.8067831,1.6406156,1.0,0,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1
1.0,0.0651447,0.36067218,1.5459574,0.030826353,1.0,0.38253352,1.5333214,0.9587514,1.0981599,1.0,0.913157,0.0914252,1.6190393,1.8149978,1.0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1
1.0,1.6875687,0.007641752,1.3319148,1.5347718,1.0,1.7131433,0.0003800032,1.2642404,0.602048,1.0,0.5027173,0.41955975,1.2523208,0.99386966,1.0,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1
